# q=  0.10000000E-02  0.10000000E-02  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.80517297E-06      0.00000000E+00     -0.31113158E-04      0.00000000E+00
       2     -0.91999622E-06      0.00000000E+00     -0.53870727E-04      0.00000000E+00
       3     -0.10132529E-05      0.00000000E+00     -0.90416288E-04      0.00000000E+00
       4     -0.10397597E-05      0.00000000E+00     -0.11717811E-03      0.00000000E+00

# q=  0.00000000E+00  0.00000000E+00  0.25000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.63065682E-02      0.00000000E+00     -0.22149660E-04      0.00000000E+00
       2     -0.97997515E-02      0.00000000E+00     -0.39959804E-04      0.00000000E+00
       3     -0.12719884E-01      0.00000000E+00     -0.63434849E-04      0.00000000E+00
       4     -0.14486187E-01      0.00000000E+00     -0.82177350E-04      0.00000000E+00

# q=  0.00000000E+00  0.00000000E+00  0.50000000E+00  (qpt 3)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.60236869E-02      0.00000000E+00     -0.25820210E-04      0.00000000E+00
       2     -0.11480835E-01      0.00000000E+00     -0.45024095E-04      0.00000000E+00
       3     -0.16074345E-01      0.00000000E+00     -0.82017605E-04      0.00000000E+00
       4     -0.19653842E-01      0.00000000E+00     -0.10635714E-03      0.00000000E+00

# q=  0.00000000E+00  0.00000000E+00  0.75000000E+00  (qpt 4)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.63062643E-02      0.00000000E+00     -0.21790651E-04      0.00000000E+00
       2     -0.97997418E-02      0.00000000E+00     -0.42848989E-04      0.00000000E+00
       3     -0.12720249E-01      0.00000000E+00     -0.64598147E-04      0.00000000E+00
       4     -0.14486187E-01      0.00000000E+00     -0.82177465E-04      0.00000000E+00

# q=  0.00000000E+00  0.25000000E+00  0.00000000E+00  (qpt 5)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.65033632E-02      0.00000000E+00     -0.21740224E-04      0.00000000E+00
       2     -0.99923820E-02      0.00000000E+00     -0.39758756E-04      0.00000000E+00
       3     -0.12853755E-01      0.00000000E+00     -0.63096400E-04      0.00000000E+00
       4     -0.14486190E-01      0.00000000E+00     -0.82177429E-04      0.00000000E+00

# q=  0.00000000E+00  0.25000000E+00  0.25000000E+00  (qpt 6)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.76224440E-02      0.00000000E+00     -0.19228715E-04      0.00000000E+00
       2     -0.12544376E-01      0.00000000E+00     -0.34017514E-04      0.00000000E+00
       3     -0.16368875E-01      0.00000000E+00     -0.59660124E-04      0.00000000E+00
       4     -0.18628019E-01      0.00000000E+00     -0.80651876E-04      0.00000000E+00

# q=  0.00000000E+00  0.25000000E+00  0.50000000E+00  (qpt 7)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.91382304E-02      0.00000000E+00     -0.20001525E-04      0.00000000E+00
       2     -0.15825901E-01      0.00000000E+00     -0.35073652E-04      0.00000000E+00
       3     -0.20689730E-01      0.00000000E+00     -0.50501426E-04      0.00000000E+00
       4     -0.24579273E-01      0.00000000E+00     -0.66511583E-04      0.00000000E+00

# q=  0.00000000E+00  0.25000000E+00  0.75000000E+00  (qpt 8)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.94659177E-02      0.00000000E+00     -0.10539280E-04      0.00000000E+00
       2     -0.15213295E-01      0.00000000E+00     -0.18248475E-04      0.00000000E+00
       3     -0.20062329E-01      0.00000000E+00     -0.28260041E-04      0.00000000E+00
       4     -0.23184792E-01      0.00000000E+00     -0.39761666E-04      0.00000000E+00

# q=  0.00000000E+00  0.50000000E+00  0.00000000E+00  (qpt 9)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.62910182E-02      0.00000000E+00     -0.25639166E-04      0.00000000E+00
       2     -0.11805141E-01      0.00000000E+00     -0.44457960E-04      0.00000000E+00
       3     -0.16182382E-01      0.00000000E+00     -0.81745501E-04      0.00000000E+00
       4     -0.19653847E-01      0.00000000E+00     -0.10635699E-03      0.00000000E+00

# q=  0.00000000E+00  0.50000000E+00  0.25000000E+00  (qpt 10)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.91907534E-02      0.00000000E+00     -0.19896086E-04      0.00000000E+00
       2     -0.15350232E-01      0.00000000E+00     -0.34714383E-04      0.00000000E+00
       3     -0.20847509E-01      0.00000000E+00     -0.50125148E-04      0.00000000E+00
       4     -0.24579276E-01      0.00000000E+00     -0.66511692E-04      0.00000000E+00

# q=  0.00000000E+00  0.50000000E+00  0.50000000E+00  (qpt 11)
