# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1    -0.00062     0.00062     0.00062   -5.636395548   -8.253525817   -2.617130269
     1       1    -0.15462     0.15462    -0.15338   -4.821266529   -7.336973633   -2.515707104
     1       1    -0.30862     0.30862    -0.30738   -3.256214153   -5.577331391   -2.321117238
     1       1     0.15338    -0.15338     0.15462   -4.825463796   -7.338240152   -2.512776356
     1       1     0.15338     0.15462     0.15462   -4.821266566   -7.337587832   -2.516321265
     1       1    -0.00062     0.30862     0.00062   -4.532673207   -7.014044061   -2.481370855
     1       1    -0.15462     0.46261    -0.15338   -2.863533048   -5.141909261   -2.278376213
     1       1     0.30738     0.00062     0.30862   -3.556412627   -5.913795259   -2.357382632
     1       1     0.30738     0.30862     0.30862   -3.256214419   -5.577388109   -2.321173690
     1       1     0.15338     0.46261     0.15462   -2.863533222   -5.142169059   -2.278635836
     1       1    -0.00062     0.61661     0.00062   -1.430148163   -3.526870655   -2.096722492
     1       1    -0.15462    -0.46138    -0.15338   -2.874043272   -5.140672604   -2.266629332
     1       1    -0.15462    -0.15338    -0.15338   -4.825463833   -7.337659924   -2.512196091
     1       1    -0.30862     0.00062    -0.30738   -3.556412626   -5.912747280   -2.356334654
     1       1     0.15338    -0.46138     0.15462   -2.874043098   -5.140850538   -2.266807440
     1       1    -0.00062    -0.30738     0.00062   -4.541362074   -7.015773534   -2.474411460
     1       1    -0.15462    -0.15338     0.15462   -4.821266637   -7.335625395   -2.514358758
     1       1    -0.30862     0.00062     0.00062   -4.532673207   -7.012013819   -2.479340612
     1       1    -0.46261     0.15462    -0.15338   -2.863533027   -5.139874612   -2.276341585
     1       1    -0.00062    -0.30738     0.30862   -3.556412790   -5.912042819   -2.355630030
     1       1    -0.00062     0.00062     0.30862   -4.532673207   -7.012604347   -2.479931140
     1       1    -0.15462     0.15462     0.15462   -4.817071652   -7.333448570   -2.516376918
     1       1    -0.30862     0.30862     0.00062   -3.548898471   -5.910744330   -2.361845859
     1       1     0.15338    -0.15338     0.46261   -2.865320398   -5.140124130   -2.274803733
     1       1     0.15338     0.15462     0.46261   -2.863533189   -5.140704571   -2.277171382
     1       1    -0.00062     0.30862     0.30862   -3.548898557   -5.911271208   -2.362372651
     1       1    -0.15462     0.46261     0.15462   -2.861771810   -5.140399289   -2.278627479
     1       1     0.30738     0.00062     0.61661   -1.255668721   -3.331405814   -2.075737093
     1       1    -0.30862    -0.30738     0.00062   -3.556412876   -5.911570026   -2.355157150
     1       1    -0.46261    -0.15338    -0.15338   -2.865320560   -5.139363152   -2.274042593
     1       1    -0.61661     0.00062    -0.30738   -1.255668527   -3.328359758   -2.072691230
     1       1    -0.15462    -0.46138     0.15462   -2.872254828   -5.140688873   -2.268434045
     1       1    -0.30862    -0.30738     0.30862   -3.256214923   -5.577305971   -2.321091048
     1       1    -0.46261    -0.15338     0.15462   -2.863533531   -5.139331920   -2.275798389
     1       1    -0.61661     0.00062     0.00062   -1.430148163   -3.526839042   -2.096690879
     1       1     0.46138     0.15462    -0.15338   -2.874043578   -5.143371693   -2.269328115
     1       1    -0.15462    -0.15338     0.46261   -2.863533518   -5.139892575   -2.276359057
     1       1    -0.30862     0.00062     0.30862   -3.548898720   -5.909504221   -2.360605501
     1       1    -0.46261     0.15462     0.15462   -2.861771832   -5.138341561   -2.276569729
     1       1    -0.00062    -0.30738     0.61661   -1.255668352   -3.333204244   -2.077535892
     1       1    -0.00062     0.00062     0.61661   -1.430148161   -3.526760668   -2.096612507
     1       1    -0.15462     0.15462     0.46261   -2.861771843   -5.138913802   -2.277141958
     1       1    -0.30862     0.30862     0.30862   -3.256279575   -5.574109990   -2.317830415
     1       1     0.15338    -0.15338    -0.46138   -2.875857668   -5.140589198   -2.264731530
     1       1     0.15338     0.15462    -0.46138   -2.874043565   -5.142728562   -2.268684997
     1       1    -0.61661    -0.30738     0.00062   -1.255667962   -3.333275676   -2.077607715
     1       1     0.46138    -0.15338    -0.15338   -2.875857657   -5.141220333   -2.265362676
     1       1     0.30738     0.00062    -0.30738   -3.563938843   -5.914364694   -2.350425851
     1       1     0.15338     0.15462    -0.15338   -4.825463903   -7.339585833   -2.514121930
     1       1    -0.00062     0.30862    -0.30738   -3.556412788   -5.914429737   -2.358016949
     1       1     0.46138    -0.15338     0.15462   -2.874043076   -5.142884647   -2.268841571
     1       1     0.30738     0.00062     0.00062   -4.541362074   -7.017783556   -2.476421482
     1       1     0.30738     0.30862     0.00062   -3.556412875   -5.914995855   -2.358582981
     1       1     0.15338     0.46261    -0.15338   -2.865320865   -5.142098337   -2.276777472
     1       1    -0.00062     0.61661    -0.30738   -1.255667793   -3.328356004   -2.072688211
     1       1     0.46138     0.15462     0.15462   -2.872254521   -5.143501550   -2.271247029
     1       1    -0.15462    -0.15338    -0.46138   -2.874043237   -5.142054083   -2.268010846
     1       1     0.30738     0.61661     0.00062   -1.255667595   -3.331460573   -2.075792978
     1       1     0.15338    -0.46138    -0.15338   -2.875857633   -5.139223045   -2.263365411
     1       1    -0.00062    -0.30738    -0.30738   -3.563938681   -5.912706013   -2.348767331
     1       1    -0.00062     0.00062    -0.30738   -4.541362074   -7.017136973   -2.475774899
     1       1    -0.15462     0.15462    -0.46138   -2.872254358   -5.142601754   -2.270347397
     1       1     0.30738    -0.30738     0.00062   -3.563938596   -5.913218193   -2.349279598
     1       1     0.15338    -0.15338    -0.15338   -4.829663436   -7.339723702   -2.510060266
     1       2    -0.00062     0.00062     0.00062    6.473390066    5.139871317   -1.333518749
     1       2    -0.15462     0.15462    -0.15338    2.489503688    0.884424165   -1.605079523
     1       2    -0.30862     0.30862    -0.30738   -0.604855641   -2.587299987   -1.982444346
     1       2     0.15338    -0.15338     0.15462    2.501652224    0.883895662   -1.617756562
     1       2     0.15338     0.15462     0.15462    2.489504021    0.885288054   -1.604215966
     1       2    -0.00062     0.30862     0.00062    2.936669158    1.362935818   -1.573733340
     1       2    -0.15462     0.46261    -0.15338    0.017981613   -1.895101291   -1.913082903
     1       2     0.30738     0.00062     0.30862    0.942283885   -0.870746328   -1.813030213
     1       2     0.30738     0.30862     0.30862   -0.604855108   -2.587333812   -1.982478704
     1       2     0.15338     0.46261     0.15462    0.017982113   -1.894584687   -1.912566801
     1       2    -0.00062     0.61661     0.00062   -1.414399507   -3.511122856   -2.096723349
     1       2    -0.15462    -0.46138    -0.15338    0.026306504   -1.900297855   -1.926604359
     1       2    -0.15462    -0.15338    -0.15338    2.501652554    0.882813527   -1.618839027
     1       2    -0.30862     0.00062    -0.30738    0.942283882   -0.871746064   -1.814029946
     1       2     0.15338    -0.46138     0.15462    0.026306004   -1.899800702   -1.926106705
     1       2    -0.00062    -0.30738     0.00062    2.954857317    1.358739775   -1.596117542
     1       2    -0.15462    -0.15338     0.15462    2.489504676    0.880981187   -1.608523490
     1       2    -0.30862     0.00062     0.00062    2.936669150    1.359423952   -1.577245198
     1       2    -0.46261     0.15462    -0.15338    0.017981428   -1.895868800   -1.913850228
     1       2    -0.00062    -0.30738     0.30862    0.942284553   -0.872633381   -1.814917934
     1       2    -0.00062     0.00062     0.30862    2.936669158    1.360345983   -1.576323175
     1       2    -0.15462     0.15462     0.15462    2.477362510    0.880599422   -1.596763089
     1       2    -0.30862     0.30862     0.00062    0.932978985   -0.868426235   -1.801405220
     1       2     0.15338    -0.15338     0.46261    0.023318704   -1.895538986   -1.918857690
     1       2     0.15338     0.15462     0.46261    0.017981834   -1.895086371   -1.913068205
     1       2    -0.00062     0.30862     0.30862    0.932979346   -0.867978871   -1.800958217
     1       2    -0.15462     0.46261     0.15462    0.012644639   -1.895471591   -1.908116230
     1       2     0.30738     0.00062     0.61661   -1.242491760   -3.324179010   -2.081687250
     1       2    -0.30862    -0.30738     0.00062    0.942284914   -0.873083614   -1.815368527
     1       2    -0.46261    -0.15338    -0.15338    0.023319105   -1.896366630   -1.919685735
     1       2    -0.61661     0.00062    -0.30738   -1.242491956   -3.327261815   -2.084769859
     1       2    -0.15462    -0.46138     0.15462    0.020902740   -1.901927330   -1.922830070
     1       2    -0.30862    -0.30738     0.30862   -0.604854079   -2.587252600   -1.982398521
     1       2    -0.46261    -0.15338     0.15462    0.017982879   -1.897455021   -1.915437899
     1       2    -0.61661     0.00062     0.00062   -1.414399510   -3.511091369   -2.096691859
     1       2     0.46138     0.15462    -0.15338    0.026307267   -1.897303894   -1.923611161
     1       2    -0.15462    -0.15338     0.46261    0.017982785   -1.897177904   -1.915160689
     1       2    -0.30862     0.00062     0.30862    0.932980003   -0.869899932   -1.802879935
     1       2    -0.46261     0.15462     0.15462    0.012644821   -1.896347620   -1.908992442
     1       2    -0.00062    -0.30738     0.61661   -1.242492132   -3.322354711   -2.079862579
     1       2    -0.00062     0.00062     0.61661   -1.414399510   -3.511012296   -2.096612786
     1       2    -0.15462     0.15462     0.46261    0.012644915   -1.896008654   -1.908653570
     1       2    -0.30862     0.30862     0.30862   -0.604785913   -2.586151515   -1.981365602
     1       2     0.15338    -0.15338    -0.46138    0.031710668   -1.897141754   -1.928852422
     1       2     0.15338     0.15462    -0.46138    0.026307172   -1.897629648   -1.923936820
     1       2    -0.61661    -0.30738     0.00062   -1.242492525   -3.322284050   -2.079791525
     1       2     0.46138    -0.15338    -0.15338    0.031710572   -1.896879716   -1.928590288
     1       2     0.30738     0.00062    -0.30738    0.951616063   -0.871488649   -1.823104711
     1       2     0.15338     0.15462    -0.15338    2.501653210    0.887432493   -1.614220717
     1       2    -0.00062     0.30862    -0.30738    0.942284543   -0.869823280   -1.812107822
     1       2     0.46138    -0.15338     0.15462    0.026305816   -1.898922898   -1.925228714
     1       2     0.30738     0.00062     0.00062    2.954857299    1.362296558   -1.592560741
     1       2     0.30738     0.30862     0.00062    0.942284907   -0.869258942   -1.811543849
     1       2     0.15338     0.46261    -0.15338    0.023319871   -1.893400067   -1.916719938
     1       2    -0.00062     0.61661    -0.30738   -1.242492694   -3.327284795   -2.084792101
     1       2     0.46138     0.15462     0.15462    0.020901968   -1.899054477   -1.919956445
     1       2    -0.15462    -0.15338    -0.46138    0.026306220   -1.899733709   -1.926039930
